center_lat,center_lon,end_date,flood_id,primary_country,severity,start_date
30.191041,-90.320072,1127088000000,2719,USA,2.0,1125273600000
-41.553605,147.09513,1125705600000,2720,Australia,1.0,1125360000000
10.665559,10.905259,1126828800000,2721,Nigeria,1.0,1123372800000
28.58392,118.553658,1125792000000,2722,Taiwan,1.0,1125532800000
44.057063,4.186194,1126224000000,2724,France,1.0,1126051200000
10.707097,105.734716,1130803200000,2725,Vietnam,1.0,1126137600000
30.368141,120.24229,1126569600000,2726,China,1.0,1126396800000
21.113878,82.538893,1128038400000,2728,India,1.0,1126656000000
15.300986,120.982766,1127779200000,2730,Philippines,1.0,1126742400000
28.197268,79.373434,1128470400000,2731,India,1.0,1126828800000
18.760138,105.54951,1127520000000,2732,Vietnam,1.0,1127001600000
44.584831,27.383339,1128816000000,2733,Romania,1.0,1127260800000
21.713895,73.473279,1128988800000,2734,India,1.0,1127347200000
29.981597,-92.997899,1128124800000,2735,USA,1.0,1127433600000
19.240185,110.083434,1128556800000,2736,China,2.0,1127692800000
29.293795,80.547593,1128211200000,2737,Nepal,1.0,1127606400000
17.04635,-11.983202,1128643200000,2742,Mauritania,2.0,1127779200000
32.868636,109.423486,1128556800000,2743,China,1.0,1127952000000
13.979731,-89.595064,1129420800000,2744,El Salvador,2.0,1128124800000
34.507343,109.083621,1128556800000,2746,China,1.0,1128297600000
25.640627,88.977022,1129939200000,2747,Bangladesh,1.0,1128297600000
17.12569,106.82035,1128988800000,2748,Vietnam,1.0,1128643200000
22.483386,-83.328351,1130198400000,2753,Jamaica,1.0,1129680000000
21.940907,87.934687,1130457600000,2754,India,1.0,1129852800000
11.780352,78.731712,1134086400000,2758,India,1.0,1130025600000
15.648431,108.217279,1131062400000,2760,Vietnam,1.0,1130889600000
8.521163,-75.310967,1134691200000,2761,Colombia,1.0,1126742400000
7.204666,100.124152,1137024000000,2768,Thailand,2.0,1132704000000
-17.236452,37.168911,1139270400000,2773,Malawi,2.0,1135209600000
39.493964,-121.099329,1137542400000,2776,USA,1.0,1135987200000
-6.381345,108.21491,1137024000000,2779,Indonesia,1.0,1136678400000
-23.260295,116.935775,1138665600000,2780,Australia,2.0,1136764800000
6.891823,-58.662739,1139875200000,2782,Guyana,1.0,1136678400000
41.552073,26.472618,1137715200000,2784,Greece,1.0,1136160000000
17.01728,121.817032,1139097600000,2785,Philippines,1.0,1138233600000
-16.033438,-63.425614,1145232000000,2786,Bolivia,1.0,1138147200000
-6.8528,108.592918,1139875200000,2789,Indonesia,1.0,1138233600000
4.326207,102.536205,1140220800000,2798,Malaysia,1.0,1139529600000
-2.231688,-79.980717,1146873600000,2802,Ecuador,1.0,1140048000000
40.658005,87.211782,1140652800000,2803,China,1.0,1140048000000
-27.409953,114.989428,1143072000000,2815,Australia,2.0,1141344000000
40.895857,25.565808,1143244800000,2817,Greece,1.0,1141862400000
38.254008,-86.419681,1142985600000,2818,USA,1.0,1142121600000
-17.908641,145.536342,1145232000000,2821,Australia,2.0,1142812800000
5.434769,-75.597465,1149206400000,2823,Colombia,1.0,1142985600000
-27.439685,24.826774,1143676800000,2825,South Africa,1.0,1143331200000
48.666377,19.084362,1147132800000,2827,Slovakia,2.0,1143504000000
47.00354,-96.893649,1145923200000,2829,USA,1.0,1143676800000
45.262129,20.749322,1147305600000,2832,Serbia-Montenegro,2.0,1144108800000
37.691104,-120.675334,1145232000000,2834,USA,1.0,1144108800000
44.497607,23.866873,1148428800000,2839,Romania,2.0,1144368000000
49.849262,-96.953115,1147132800000,2841,Canada,1.0,1144713600000
50.775179,87.143833,1149033600000,2851,Russia,1.0,1145577600000
52.53358,-82.087401,1149033600000,2852,Canada,2.0,1145664000000
18.367934,94.945666,1146787200000,2859,Burma,1.0,1146268800000
18.18105,100.149202,1149984000000,2867,Thailand,2.0,1148256000000
36.962812,-88.585836,1148774400000,2871,USA,1.0,1148515200000
26.599281,94.024532,1153699200000,2879,India,1.0,1149033600000
-5.166664,120.107435,1151020800000,2890,Indonesia,1.0,1150675200000
25.615074,83.671273,1154563200000,2894,India,1.0,1151107200000
-3.285772,115.489611,1151539200000,2896,Indonesia,1.0,1151193600000
28.470782,105.730409,1152316800000,2900,China,1.0,1151452800000
22.411409,71.309729,1152230400000,2911,India,1.0,1151971200000
33.056169,69.948565,1152748800000,2916,Pakistan,1.0,1152403200000
47.733436,128.901206,1152748800000,2919,China,1.0,1152576000000
24.003504,112.108469,1153267200000,2921,Philippines,2.0,1152576000000
50.791203,106.524637,1152835200000,2923,Russia,1.0,1152662400000
39.035519,106.588178,1153094400000,2924,China,1.0,1152835200000
34.609786,73.199799,1156204800000,2931,Pakistan,1.0,1153699200000
20.194292,73.824174,1158019200000,2935,India,2.0,1154044800000
18.104598,81.52884,1157846400000,2940,India,1.0,1154390400000
14.421787,-1.02134,1160524800000,2947,Burkina Faso,1.0,1154563200000
17.764156,106.149356,1157155200000,2948,Vietnam,1.0,1155340800000
11.061775,104.674574,1162339200000,2949,Cambodia,1.0,1155168000000
18.76445,100.017133,1165968000000,2951,Thailand,2.0,1156032000000
1.384461,34.275807,1156118400000,2952,Uganda,1.0,1155340800000
28.694093,81.305997,1158105600000,2954,Nepal,2.0,1156550400000
3.104364,45.444397,1160438400000,2955,Somalia,1.0,1156377600000
27.585296,81.51737,1157328000000,2956,India,1.0,1156809600000
34.69552,102.681828,1156982400000,2957,China,1.0,1156896000000
32.886368,73.884164,1157932800000,2958,India,1.0,1156982400000
34.74398,-77.870731,1157587200000,2959,USA,1.0,1157155200000
23.229479,89.272707,1158710400000,2961,Bangladesh,1.0,1156377600000
24.466242,-107.038656,1158537600000,2963,Mexico,1.0,1158364800000
32.74227,66.125268,1164067200000,2995,Afghanistan,1.0,1163894400000
10.329669,106.735524,1165536000000,3002,Philippines,1.0,1164844800000
6.844545,81.662316,1166572800000,3004,Sri Lanka,1.0,1166313600000
-9.184872,-75.990348,1170374400000,3007,Peru,1.0,1167091200000
7.711826,125.216707,1169596800000,3014,Philippines,1.0,1168387200000
6.706132,80.946642,1168905600000,3016,Sri Lanka,1.0,1168560000000
-16.973776,-61.960201,1177977600000,3019,Bolivia,1.5,1168387200000
35.270227,69.668198,1176854400000,3055,Afghanistan,1.0,1176768000000
39.332759,99.801771,1177113600000,3058,China,1.0,1176940800000
37.006303,70.73155,1178236800000,3061,Afghanistan,1.0,1177286400000
-0.860079,114.779037,1180051200000,3065,Indonesia,1.0,1177977600000
6.494672,80.082226,1178496000000,3067,Sri Lanka,1.0,1178064000000
16.908898,96.131258,1178668800000,3068,Burma,1.0,1178236800000
40.434191,-95.238199,1179446400000,3070,USA,1.0,1178409600000
-32.765868,-55.802561,1180051200000,3071,Uruguay,1.5,1178236800000
17.211479,100.338679,1179705600000,3073,Thailand,1.0,1178841600000
62.336386,130.45858,1181692800000,3075,Russia,1.0,1179014400000
56.937226,85.839433,1181692800000,3076,Russia,1.0,1178841600000
-3.59393,39.762126,1181779200000,3078,Kenya,1.0,1179187200000
26.870875,105.414298,1179705600000,3079,China,1.0,1179619200000
7.378356,-75.426149,1182902400000,3080,Colombia,1.0,1179532800000
-0.1883,116.91957,1181001600000,3081,Indonesia,1.0,1179187200000
30.24335,-98.664531,1180396800000,3083,USA,1.0,1179964800000
30.282138,107.778235,1180137600000,3084,China,1.0,1179964800000
42.523179,24.501635,1181088000000,3085,Bulgaria,1.0,1179792000000
19.547861,-71.053795,1180828800000,3089,Dominican Republic,1.0,1180483200000
54.178882,-125.032794,1181779200000,3092,Canada,1.5,1181088000000
26.292801,112.355385,1187308800000,3094,China,1.5,1181088000000
-32.865398,151.375371,1181692800000,3095,Australia,1.5,1181260800000
22.397464,91.953546,1182643200000,3097,Bangladesh,1.0,1181520000000
-33.327288,18.578084,1181952000000,3098,South Africa,1.5,1181174400000
52.523207,-0.759207,1182384000000,3099,UK,1.0,1181865600000
26.948499,85.862693,1182124800000,3100,Nepal,1.0,1181865600000
34.97581,72.225824,1182297600000,3101,Pakistan,1.0,1181952000000
0.617594,123.095573,1182297600000,3103,Indonesia,1.0,1181952000000
26.255772,94.018895,1182816000000,3104,India,1.0,1182124800000
14.944966,78.161545,1183507200000,3107,India,1.0,1182470400000
35.278159,71.140741,1183420800000,3109,Afghanistan,1.0,1182643200000
53.881359,-0.913693,1183420800000,3110,UK,1.5,1182729600000
25.256271,67.90249,1184889600000,3112,Pakistan,1.0,1182816000000
32.836626,-97.165715,1185148800000,3113,USA,1.5,1182816000000
-37.936133,146.856476,1183507200000,3114,Australia,1.5,1182902400000
33.753477,52.20192,1183075200000,3115,Iran,1.5,1182902400000
34.27492,71.869938,1185062400000,3116,Pakistan,1.0,1182988800000
20.053869,81.860109,1184284800000,3118,India,1.0,1183161600000
21.026348,77.523744,1183680000000,3119,India,1.0,1183248000000
22.023056,72.24951,1184284800000,3120,India,1.0,1183248000000
22.63148,88.487108,1190419200000,3122,India,1.5,1183420800000
12.907167,33.771445,1191801600000,3123,Sudan,1.0,1183420800000
18.52419,95.317389,1185926400000,3125,Burma,1.0,1183680000000
