date,percentile,variable,income
2019-01-01,82,maximum,11544
2019-01-01,83,maximum,11867
2019-01-01,84,maximum,12186
2019-01-01,85,maximum,12585
2019-01-01,86,maximum,12993
2019-01-01,87,maximum,13437
2019-01-01,88,maximum,13938
2019-01-01,89,maximum,14443
2019-01-01,90,maximum,15039
2019-01-01,91,maximum,15674
2019-01-01,92,maximum,16402
2019-01-01,93,maximum,17297
2019-01-01,94,maximum,18434
2019-01-01,95,maximum,19780
2019-01-01,96,maximum,21563
2019-01-01,97,maximum,24062
2019-01-01,98,maximum,28057
2019-01-01,99,maximum,36615
2019-01-01,100,maximum,
2022-01-01,1,maximum,1303
2022-01-01,2,maximum,1547
2022-01-01,3,maximum,1723
2022-01-01,4,maximum,1877
2022-01-01,5,maximum,2012
2022-01-01,6,maximum,2134
2022-01-01,7,maximum,2246
2022-01-01,8,maximum,2357
2022-01-01,9,maximum,2459
2022-01-01,10,maximum,2559
2022-01-01,11,maximum,2657
2022-01-01,12,maximum,2749
2022-01-01,13,maximum,2846
2022-01-01,14,maximum,2944
2022-01-01,15,maximum,3034
2022-01-01,16,maximum,3117
2022-01-01,17,maximum,3200
2022-01-01,18,maximum,3279
2022-01-01,19,maximum,3359
2022-01-01,20,maximum,3440
2022-01-01,21,maximum,3522
2022-01-01,22,maximum,3608
2022-01-01,23,maximum,3696
2022-01-01,24,maximum,3783
2022-01-01,25,maximum,3874
2022-01-01,26,maximum,3966
2022-01-01,27,maximum,4052
2022-01-01,28,maximum,4140
2022-01-01,29,maximum,4225
2022-01-01,30,maximum,4313
2022-01-01,31,maximum,4403
2022-01-01,32,maximum,4488
2022-01-01,33,maximum,4582
2022-01-01,34,maximum,4674
2022-01-01,35,maximum,4764
2022-01-01,36,maximum,4864
2022-01-01,37,maximum,4958
2022-01-01,38,maximum,5052
2022-01-01,39,maximum,5150
2022-01-01,40,maximum,5251
2022-01-01,41,maximum,5352
2022-01-01,42,maximum,5457
2022-01-01,43,maximum,5566
2022-01-01,44,maximum,5664
2022-01-01,45,maximum,5770
2022-01-01,46,maximum,5876
2022-01-01,47,maximum,5991
2022-01-01,48,maximum,6115
2022-01-01,49,maximum,6228
2022-01-01,50,maximum,6338
2022-01-01,51,maximum,6452
2022-01-01,52,maximum,6582
2022-01-01,53,maximum,6709
2022-01-01,54,maximum,6840
2022-01-01,55,maximum,6979
2022-01-01,56,maximum,7115
2022-01-01,57,maximum,7254
2022-01-01,58,maximum,7391
2022-01-01,59,maximum,7544
2022-01-01,60,maximum,7694
2022-01-01,61,maximum,7850
2022-01-01,62,maximum,8011
2022-01-01,63,maximum,8181
2022-01-01,64,maximum,8339
2022-01-01,65,maximum,8523
2022-01-01,66,maximum,8696
2022-01-01,67,maximum,8875
2022-01-01,68,maximum,9054
2022-01-01,69,maximum,9260
2022-01-01,70,maximum,9449
2022-01-01,71,maximum,9659
2022-01-01,72,maximum,9880
2022-01-01,73,maximum,10093
2022-01-01,74,maximum,10317
2022-01-01,75,maximum,10552
2022-01-01,76,maximum,10776
2022-01-01,77,maximum,11038
2022-01-01,78,maximum,11282
2022-01-01,79,maximum,11538
2022-01-01,80,maximum,11819
2022-01-01,81,maximum,12104
2022-01-01,82,maximum,12395
2022-01-01,83,maximum,12733
2022-01-01,84,maximum,13113
2022-01-01,85,maximum,13474
2022-01-01,86,maximum,13858
2022-01-01,87,maximum,14303
2022-01-01,88,maximum,14765
2022-01-01,89,maximum,15299
2022-01-01,90,maximum,15867
2022-01-01,91,maximum,16533
2022-01-01,92,maximum,17325
2022-01-01,93,maximum,18292
2022-01-01,94,maximum,19467
2022-01-01,95,maximum,20776
2022-01-01,96,maximum,22574
2022-01-01,97,maximum,25013
2022-01-01,98,maximum,29024
2022-01-01,99,maximum,37582
2022-01-01,100,maximum,
